"","X","OrganismList","Limb_width","Limb_length","ObserverList","limb_vol"
"1",1,"Ambystoma maculatum",12.5205484069884,12.3349743429571,"Don Henley",1517.94001768787
"2",2,"Cynops pyrrhogaster",10.942794055678,17.4497036170214,"Don Henley",1640.26554872015
"3",3,"Ambystoma tigrinum",14.5216867229901,10.1557433232665,"Glenn Frey",1681.18497362677
"4",4,"Ambystoma mexicanum",2.10055090300739,37.4086405988783,"Glenn Frey",129.571057701579
"5",5,"Ambystoma mexicanum",1.75091904355213,32.6173655036837,"Joe Walsh",78.4965680844717
"6",6,"Cynops pyrrhogaster",9.04969503171742,44.964014776051,"Don Henley",2890.69736568242
"7",7,"Ambystoma mexicanum",6.42892042035237,16.6777008026838,"Joe Walsh",541.105483383218
"8",8,"Pseudotriton ruber",8.14543712325394,13.2402378506958,"Joe Walsh",689.595207945109
"9",9,"Ambystoma mexicanum",6.12607160722837,23.5752584971488,"Joe Walsh",694.528797879431
"10",10,"Ambystoma maculatum",4.05103165376931,15.3183786943555,"Don Henley",197.339367476112
"11",11,"Ambystoma tigrinum",10.0003644800745,5.66184358671308,"Joe Walsh",444.48712112542
"12",12,"Ambystoma tigrinum",11.5394100914709,18.7847224622965,"Glenn Frey",1963.54860043425
"13",13,"Ambystoma tigrinum",2.29146623006091,12.3547958303243,"Joe Walsh",50.9251306915802
"14",14,"Pseudotriton ruber",5.30231212778017,22.7169257123023,"Don Henley",501.360129114692
"15",15,"Cynops pyrrhogaster",14.8891232921742,40.6271033827215,"Don Henley",7070.0708897178
"16",16,"Ambystoma maculatum",2.66573398094624,39.8463284224272,"Don Henley",222.275493498567
"17",17,"Ambystoma mexicanum",8.35617929045111,26.2761586625129,"Joe Walsh",1440.28033690784
"18",18,"Pseudotriton ruber",1.57774696918204,32.7333316020668,"Don Henley",63.9638470313352
"19",19,"Cynops pyrrhogaster",14.144447451923,31.6407029796392,"Don Henley",4969.21461387656
"20",20,"Ambystoma maculatum",1.94035959383473,31.9676287192851,"Don Henley",94.4810092657106
"21",21,"Ambystoma mexicanum",1.41626690374687,12.958966344595,"Joe Walsh",20.4047008248219
"22",22,"Ambystoma mexicanum",2.8380351671949,34.2338629160076,"Don Henley",216.451753957736
"23",23,"Pseudotriton ruber",12.4655080065131,28.7150677572936,"Joe Walsh",3502.67196334249
"24",24,"Cynops pyrrhogaster",13.5535014853813,11.9409565813839,"Don Henley",1721.91532541534
"25",25,"Cynops pyrrhogaster",2.34216366056353,7.88730732165277,"Don Henley",33.9650999335559
"26",26,"Ambystoma tigrinum",10.7370477719232,5.64050020650029,"Joe Walsh",510.454512042306
"27",27,"Ambystoma mexicanum",8.23492013290524,25.449063712731,"Glenn Frey",1354.7533971322
"28",28,"Ambystoma mexicanum",7.20637557888404,9.59927120245993,"Joe Walsh",391.328703416968
"29",29,"Cynops pyrrhogaster",4.02581829624251,14.99690964818,"Glenn Frey",190.80061503541
"30",30,"Cynops pyrrhogaster",5.49926007306203,5.07625861093402,"Glenn Frey",120.509674639238
"31",31,"Cynops pyrrhogaster",13.4204286336899,33.243383904919,"Don Henley",4700.10603321054
"32",32,"Pseudotriton ruber",7.90996120730415,21.9848517421633,"Joe Walsh",1079.79647451372
